"","all","weather","maxtemp","RH","maxwind"
"101",3767,1,23,80,35
"102",3718,1,22,73,39
"103",4426,1,21,71,0
"104",4602,1,21,68,0
"105",3841,1,22,69,50
"106",3815,1,22,64,40
"107",4031,1,23,69,32
"108",4914,1,21,73,0
"109",4436,1,20,70,0
"110",4898,1,20,69,0
"111",5284,0,21,74,0
"112",4027,0,21,72,27
"113",4207,1,26,54,40
"114",4172,1,26,56,42
"115",4382,1,23,66,0
"116",5723,1,22,67,0
"117",3648,1,21,68,42
"118",3648,1,22,66,0
"119",4581,1,22,71,0
"120",4337,1,22,71,0
"121",4267,1,21,70,0
"122",3801,1,22,61,0
"123",3973,1,28,39,39
"124",4292,1,30,33,39
"125",3889,1,29,40,35
"126",4269,1,23,73,0
"127",4047,1,24,71,37
"128",4330,1,26,66,34
"129",3648,1,26,70,32
"130",3895,1,22,69,45
"131",3955,1,23,71,52
"132",4345,1,23,69,0
"133",4171,1,27,52,0
"134",3612,1,28,31,29
"135",3530,1,26,54,29
"136",3604,1,24,66,0
"137",3834,1,22,68,52
"138",4429,1,22,72,50
"139",3829,1,24,59,37
"140",3964,1,22,65,34
"141",3648,1,23,66,34
"142",4981,1,23,55,35
"143",3810,1,23,53,47
"144",3918,1,24,48,40
"145",4408,1,26,33,34
"146",4394,1,26,34,0
"147",3932,1,26,40,42
"148",4039,1,27,37,37
"149",3696,1,24,45,0
"150",3754,1,23,63,37
"151",3791,1,22,72,0
"152",5224,1,20,70,0
"153",5325,1,19,61,0
"154",3822,1,21,54,0
"155",3667,1,22,73,29
"156",4114,1,24,57,35
"157",3605,1,26,37,37
"158",4085,1,26,33,0
"159",5673,1,24,49,50
"160",4394,1,22,73,0
"161",3932,1,20,73,50
"162",4039,1,21,70,0
"163",3696,1,20,74,47
"164",3754,1,22,68,0
"165",3791,1,24,46,42
"166",5224,1,24,42,35
"167",5325,1,26,46,29
"168",3822,1,22,68,37
"169",3667,1,21,81,0
"170",4114,0,20,85,0
"171",3605,0,20,83,52
"172",2135,0,21,86,64
"173",3954,0,19,91,55
"174",4712,0,19,92,0
"175",3232,0,20,99,0
"176",2905,0,20,97,48
"177",2668,0,20,93,40
"178",3648,0,20,84,0
"179",3047,0,19,86,0
"180",4439,1,19,79,0
"181",3648,1,21,68,39
"182",4205,1,22,57,40
"183",1638,1,22,53,42
"184",2564,1,22,50,34
"185",2371,1,23,51,32
"186",2207,1,20,67,0
"187",4647,1,17,71,0
"188",3866,1,17,75,0
"189",1877,1,18,88,24
"190",1754,0,20,86,0
"191",1793,1,19,85,40
"192",1617,0,21,86,39
"193",4410,0,18,91,69
"194",2607,0,18,87,0
"195",2640,0,18,89,34
"196",2289,0,20,85,63
"197",1933,0,19,88,74
"198",2866,0,19,92,0
"199",3630,0,19,94,66
"200",2975,0,17,89,0
"201",4327,1,17,89,34
"202",3673,0,17,83,40
"203",2734,0,14,86,29
"204",2185,1,14,69,0
"205",1933,1,14,62,34
"206",1389,1,14,64,27
"207",2796,1,16,83,32
"208",4180,1,17,88,0
"209",4148,1,18,79,0
"210",2748,1,16,79,0
"211",2522,0,17,87,0
"212",2424,1,17,76,0
"213",2450,1,17,80,0
"214",3407,1,16,94,0
"215",4314,1,14,76,0
"216",5187,1,16,82,0
"217",2411,1,16,75,0
"218",2173,1,17,72,48
"219",2315,1,16,73,42
"220",2066,1,17,55,53
"221",3691,1,13,56,0
"222",3648,1,10,63,50
"223",6165,1,11,69,0
"224",3469,0,13,74,0
"225",2847,1,13,78,52
"226",3295,1,10,64,29
"227",2638,0,9,79,0
"228",3459,0,11,99,0
"229",4860,1,10,84,0
"230",5179,1,9,58,0
"231",2642,1,10,56,0
"232",2551,1,10,57,37
"233",2347,1,9,58,0
"234",2863,1,8,60,0
"235",3875,1,11,62,0
"236",6107,1,10,69,0
"237",4857,1,10,54,45
"238",3365,1,9,58,0
"239",2938,1,9,60,35
"240",3119,1,11,62,34
"241",3436,1,12,70,35
"242",2343,1,11,67,0
"243",5579,1,9,72,34
"244",4796,0,7,83,0
"245",2620,0,8,83,39
"246",2663,1,10,75,37
"247",2817,0,12,80,0
"248",3767,1,13,81,32
"249",3648,0,13,94,29
"250",3648,0,13,83,48
"251",4974,1,11,83,35
"252",3228,1,10,87,32
"253",3191,0,11,90,24
"254",4153,0,10,93,0
"255",4307,0,12,86,74
"256",4660,1,9,69,0
"257",6193,1,9,68,0
